Category,Service,Platform,Solution,Description
Compute,High Performance Computing,AWS,High Performance Computing,https://aws.amazon.com/hpc/
Compute,High Performance Computing,AWS,AWS ParallelCluster,https://aws.amazon.com/hpc/parallelcluster/
Compute,High Performance Computing,AWS,Elastic Fabric Adapter,https://aws.amazon.com/hpc/efa/
Compute,High Performance Computing,AWS,NICE DCV,https://aws.amazon.com/hpc/dcv/
Compute,High Performance Computing,Microsoft Azure,Azure High Performance Compute,https://azure.com/hpc/
Compute,High Performance Computing,Google Cloud Platform,High performance computing,https://cloud.google.com/solutions/hpc
Compute,High Performance Computing,IBM Cloud,IBM Spectrum LSF,https://cloud.ibm.com/catalog/content/terraform-1623200063-71606cab-c6e1-4f95-a47a-2ce541dcbed8-global
Compute,High Performance Computing,IBM Cloud,IBM Spectrum Symphony,https://cloud.ibm.com/catalog/content/terraform-1627942334-78300480-b376-4185-9812-b7ae00d82765-global
Compute,High Performance Computing,Oracle Cloud,Oracle Dedicated Virtual Machine Hosts,https://docs.oracle.com/en-us/iaas/Content/Compute/Concepts/dedicatedvmhosts.htm
Compute,Container Registration Service,AWS,Amazon Elastic Container Registry (ECR),https://aws.amazon.com/ecr/
Compute,Container Registration Service,Microsoft Azure,Azure Container Registry ,https://azure.microsoft.com/services/container-registry/
Compute,Container Registration Service,Google Cloud Platform,Artifact Registry,https://cloud.google.com/artifact-registry/
Compute,Container Registration Service,IBM Cloud,IBM Cloud Container Registry,https://www.ibm.com/cloud/container-registry
Compute,Container Registration Service,Oracle Cloud,Oracle Cloud Infrastructure Registry,https://cloud.oracle.com/containers/registry
Compute,Container Registration Service,Alibaba Cloud,Container Registry,https://www.alibabacloud.com/product/container-registry
Compute,Container Registration Service,Huawei Cloud,Software Repository for Container,https://www.huaweicloud.com/intl/en-us/product/swr.html
Compute,Container Management Service,AWS,Amazon Elastic Container Service (ECS),https://aws.amazon.com/ecs/
Compute,Container Management Service,AWS,Amazon Elastic Kubernetes Service (EKS),https://aws.amazon.com/eks/
Compute,Container Management Service,AWS,Red Hat Openshift on AWS,https://aws.amazon.com/rosa/
Compute,Container Management Service,AWS,Bottlerocket,https://aws.amazon.com/bottlerocket/
Compute,Container Management Service,Microsoft Azure,Azure Kubernetes Service (AKS),https://azure.microsoft.com/services/kubernetes-service/
Compute,Container Management Service,Microsoft Azure,Azure Container Instances,https://azure.microsoft.com/services/container-instances/
Compute,Container Management Service,Microsoft Azure,Azure Red Hat OpenShift,https://azure.microsoft.com/services/openshift/
Compute,Container Management Service,Google Cloud Platform,Kubernetes Engine,https://cloud.google.com/kubernetes-engine/
Compute,Container Management Service,IBM Cloud,IBM Cloud Kubernetes Service,https://www.ibm.com/cloud/container-service
Compute,Container Management Service,IBM Cloud,Redhat Openshift Kubernetes Service,https://cloud.ibm.com/kubernetes/catalog/create?platformType=openshift
Compute,Container Management Service,IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,Container Management Service,Oracle Cloud,Container Engine for Kubernetes (OKE),https://cloud.oracle.com/containers/kubernetes-engine
Compute,Container Management Service,Alibaba Cloud,Container Service,https://www.alibabacloud.com/product/container-service
Compute,Container Management Service,Alibaba Cloud,Container Service for Kubernetes,https://www.alibabacloud.com/product/kubernetes
Compute,Container Management Service,Huawei Cloud,Cloud Container Instance,https://www.huaweicloud.com/product/cci.html
Compute,Container Management Service,Huawei Cloud,Cloud Container Engine,https://www.huaweicloud.com/intl/en-us/product/cce.html
Compute,Serverless compute for containers,AWS,AWS Fargate,https://aws.amazon.com/fargate/
Compute,Serverless compute for containers,AWS,AWS Proton,https://aws.amazon.com/proton/
Compute,Serverless compute for containers,Microsoft Azure,Azure Container Instances,https://azure.microsoft.com/services/container-instances/
Compute,Serverless compute for containers,Microsoft Azure,Azure Container Apps,https://azure.microsoft.com/en-us/services/container-apps/
Compute,Serverless compute for containers,Google Cloud Platform,Google Cloud Run,https://cloud.google.com/run
Compute,Serverless compute for containers,IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,Serverless container platform,AWS,AWS App Runner,https://aws.amazon.com/apprunner/
Compute,Serverless container platform,Microsoft Azure,Azure Container Apps,https://azure.microsoft.com/en-us/services/container-apps/
Compute,Serverless container platform,Google Cloud Platform,Google Cloud Run,https://cloud.google.com/run
Compute,Serverless container platform,IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,Serverless container platform,Oracle Cloud,Oracle Functions,https://docs.oracle.com/en-us/iaas/Content/Functions/Concepts/functionsoverview.htm
Compute,Micro Services App Development Platform,AWS,AWS Lambda,https://aws.amazon.com/lambda/
Compute,Micro Services App Development Platform,Microsoft Azure,Azure Service Fabric,https://azure.microsoft.com/services/service-fabric/
Compute,Micro Services App Development Platform,Microsoft Azure,Azure Functions,https://azure.microsoft.com/services/functions/
Compute,Micro Services App Development Platform,Microsoft Azure,Event Grid,https://azure.microsoft.com/services/event-grid/
Compute,Micro Services App Development Platform,Google Cloud Platform,Google Cloud Functions,https://cloud.google.com/functions/
Compute,Micro Services App Development Platform,Google Cloud Platform,EventArc,https://cloud.google.com/eventarc
Compute,Micro Services App Development Platform,IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,Micro Services App Development Platform,IBM Cloud,IBM Cloud Functions,https://www.ibm.com/cloud/functions
Compute,Micro Services App Development Platform,Oracle Cloud,Oracle Functions,https://www.oracle.com/cloud/cloud-native/functions/
Compute,Micro Services App Development Platform,Alibaba Cloud,Function Compute,https://www.alibabacloud.com/product/function-compute
Compute,Micro Services App Development Platform,Huawei Cloud,FunctionGraph,https://www.huaweicloud.com/intl/en-us/product/functiongraph.html
Compute,Serverless app repository,AWS,AWS Serverless Application Repository,
Compute,Virtual Private Servers,AWS,Amazon Lightsail,https://amazonlightsail.com/
Compute,Virtual Private Servers,Microsoft Azure,Azure App Service Environment,https://docs.microsoft.com/azure/app-service-web/app-service-app-service-environment-intro
Compute,Virtual Private Servers,IBM Cloud,Classic Virtual Server,https://cloud.ibm.com/docs/vsi?topic=virtual-servers-about-public-virtual-servers
Compute,Virtual Private Servers,IBM Cloud,Virtual Server for VPC,https://cloud.ibm.com/docs/vpc-on-classic-vsi?topic=vpc-on-classic-vsi-getting-started
Compute,Virtual Private Servers,Alibaba Cloud,Simple Application Server,https://www.alibabacloud.com/product/swas#product-details
Compute,Virtual Private Servers,Huawei Cloud,Hyper Elastic Cloud Server,https://www.huaweicloud.com/product/hecs.html
Compute,Auto Scaling,AWS,Auto Scaling,https://aws.amazon.com/ec2/autoscaling/
Compute,Auto Scaling,Microsoft Azure,Azure Autoscale,https://azure.microsoft.com/features/autoscale/
Compute,Auto Scaling,Microsoft Azure,Virtual Machine Scale Sets,https://docs.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-overview
Compute,Auto Scaling,Google Cloud Platform,Auto Scaler,https://cloud.google.com/compute/docs/autoscaler/
Compute,Auto Scaling,IBM Cloud,Auto Scaling,https://www.ibm.com/cloud/auto-scaling
Compute,Auto Scaling,Oracle Cloud,Oracle Autoscaling Instance Pools,https://docs.oracle.com/en-us/iaas/Content/Compute/Concepts/instancemanagement.htm
Compute,Auto Scaling,Alibaba Cloud,Auto Scaling,https://www.alibabacloud.com/product/auto-scaling
Compute,Auto Scaling,Huawei Cloud,Auto Scaling,https://www.huaweicloud.com/intl/en-us/product/as.html
Compute,Batch Jobs,AWS,AWS Batch,https://aws.amazon.com/batch/
Compute,Batch Jobs,Microsoft Azure,Azure Batch,https://azure.microsoft.com/services/batch/
Compute,Batch Jobs,Google Cloud Platform,Preemptible VMs,https://cloud.google.com/preemptible-vms/
Compute,Batch Jobs,IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,Batch Jobs,IBM Cloud,IBM Cloud Functions,https://www.ibm.com/cloud/functions
Compute,Batch Jobs,Oracle Cloud,Oracle Burstable Instances,https://docs.oracle.com/en-us/iaas/Content/Compute/References/burstable-instances.htm
Compute,Batch Jobs,Alibaba Cloud,Batch Compute,https://www.alibabacloud.com/product/batch-compute
Compute,App Development/ Deployment (Java /.Net /PHP /Python),AWS,AWS Elastic Beanstalk,https://aws.amazon.com/elasticbeanstalk/
Compute,App Development/ Deployment (Java /.Net /PHP /Python),Microsoft Azure,Azure Web Apps,https://azure.microsoft.com/services/app-service/web/
Compute,App Development/ Deployment (Java /.Net /PHP /Python),Microsoft Azure,Azure Cloud Services,https://azure.microsoft.com/services/cloud-services/
Compute,App Development/ Deployment (Java /.Net /PHP /Python),Google Cloud Platform,Google App engine,https://cloud.google.com/appengine/
Compute,App Development/ Deployment (Java /.Net /PHP /Python),IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,App Development/ Deployment (Java /.Net /PHP /Python),IBM Cloud,Cloud Foundry Apps,https://www.ibm.com/cloud/cloud-foundry
Compute,App Development/ Deployment (Java /.Net /PHP /Python),Oracle Cloud,Oracle Application Container Cloud Service,https://docs.oracle.com/en/cloud/paas/app-container-cloud/index.html
Compute,App Development/ Deployment (Java /.Net /PHP /Python),Oracle Cloud,Java Cloud Service,https://cloud.oracle.com/en_US/java
Compute,App Development/ Deployment (Java /.Net /PHP /Python),Alibaba Cloud,Enterprise Distributed Application Service,https://www.alibabacloud.com/product/edas
Compute,Event Driven Computing,AWS,AWS Lambda,https://aws.amazon.com/lambda/
Compute,Event Driven Computing,Microsoft Azure,Azure Functions,https://azure.microsoft.com/services/functions/
Compute,Event Driven Computing,Microsoft Azure,Event Grid,https://azure.microsoft.com/services/event-grid/
Compute,Event Driven Computing,Google Cloud Platform,Cloud Functions,https://cloud.google.com/functions/
Compute,Event Driven Computing,Google Cloud Platform,EventArc,https://cloud.google.com/eventarc
Compute,Event Driven Computing,IBM Cloud,IBM Cloud Code Engine,https://cloud.ibm.com/codeengine
Compute,Event Driven Computing,IBM Cloud,IBM Cloud Functions,https://www.ibm.com/cloud/functions
Compute,Event Driven Computing,Oracle Cloud,Oracle Functions,https://www.oracle.com/cloud-native/functions/
Compute,Event Driven Computing,Alibaba Cloud,Function Compute,https://www.alibabacloud.com/product/function-compute
Compute,Event Driven Computing,Huawei Cloud,FunctionGraph,https://www.huaweicloud.com/intl/en-us/product/functiongraph.html
Storage,Object Storage,AWS,Amazon Simple Storage Service (S3),https://aws.amazon.com/documentation/s3/
Storage,Object Storage,Microsoft Azure,Azure Blob Storage,https://azure.microsoft.com/services/storage/blobs/
Storage,Object Storage,Google Cloud Platform,Cloud Storage,https://cloud.google.com/storage/
Storage,Object Storage,IBM Cloud,Cloud Object Storage,https://cloud.ibm.com/docs/services/cloud-object-storage?topic=cloud-object-storage-about-ibm-cloud-object-storage
Storage,Object Storage,Oracle Cloud,Oracle Cloud Infrastructure Object Storage,https://www.oracle.com/cloud/storage/object-storage.html
Storage,Object Storage,Alibaba Cloud,Object Storage Service,https://www.alibabacloud.com/product/oss
Storage,Object Storage,Huawei Cloud,Object Storage Service,https://www.huaweicloud.com/intl/en-us/product/obs.html
Storage,Virtual Machine Disk Storage,AWS,Amazon Elastic Block Storage (EBS),https://aws.amazon.com/ebs/
Storage,Virtual Machine Disk Storage,Microsoft Azure,Azure Page Blobs / Premium Storage,https://azure.microsoft.com/services/storage/disks/
Storage,Virtual Machine Disk Storage,Microsoft Azure,Managed Disks,https://azure.microsoft.com/services/managed-disks/
Storage,Virtual Machine Disk Storage,Google Cloud Platform,Persistent Disk,https://cloud.google.com/persistent-disk/
Storage,Virtual Machine Disk Storage,IBM Cloud,Block Storage,https://cloud.ibm.com/docs/infrastructure/BlockStorage?topic=BlockStorage-About#getting-started-with-block-storage
Storage,Virtual Machine Disk Storage,IBM Cloud,Block Storage for VPC,https://cloud.ibm.com/docs/vpc-on-classic-block-storage?topic=vpc-on-classic-block-storage-getting-started
Storage,Virtual Machine Disk Storage,Oracle Cloud,Oracle Cloud Infrastructure Block Volumes,https://www.oracle.com/cloud/storage/block-volumes.html
Storage,Virtual Machine Disk Storage,Alibaba Cloud,Block Storage,
Storage,Virtual Machine Disk Storage,Huawei Cloud,Elastic Volume Service,https://www.huaweicloud.com/intl/en-us/product/evs.html
Storage,File Storage (SMB Compatible),AWS,Amazon Elastic File System (EFS),https://aws.amazon.com/efs/
Storage,File Storage (SMB Compatible),AWS,Amazon FSx for Windows File Server,https://aws.amazon.com/fsx/windows/
Storage,File Storage (SMB Compatible),AWS,Amazon FSx for Lustre,https://aws.amazon.com/fsx/lustre/
Storage,File Storage (SMB Compatible),AWS,Amazon FSx for NetApp ONTAP,https://aws.amazon.com/fsx/netapp-ontap/
Storage,File Storage (SMB Compatible),AWS,Amazon FSx for OpenZFS,https://aws.amazon.com/fsx/openzfs/
Storage,File Storage (SMB Compatible),Microsoft Azure,Azure Files,https://azure.microsoft.com/en-us/services/storage/files/
Storage,File Storage (SMB Compatible),Microsoft Azure,Azure NetApp Files,https://azure.microsoft.com/en-gb/services/netapp/
Storage,File Storage (SMB Compatible),Google Cloud Platform,File Store,http://cloud.google.com/filestore
Storage,File Storage (SMB Compatible),IBM Cloud,File Storage,https://cloud.ibm.com/docs/infrastructure/FileStorage?topic=FileStorage-about#getting-started-with-file-storage
Storage,File Storage (SMB Compatible),Oracle Cloud,Oracle File Storage Services,https://docs.oracle.com/en-us/iaas/Content/File/Concepts/filestorageoverview.htm
Storage,File Storage (SMB Compatible),Alibaba Cloud,NAS File Storage,https://www.alibabacloud.com/product/nas
Storage,File Storage (SMB Compatible),Huawei Cloud,Scalable File Service,https://www.huaweicloud.com/intl/en-us/product/sfs.html
Storage,Long Term Cold Storage,AWS,Amazon S3 Glacier,https://aws.amazon.com/s3/storage-classes/glacier/
Storage,Long Term Cold Storage,Microsoft Azure,Azure Archive Storage,https://azure.microsoft.com/services/storage/archive/
Storage,Long Term Cold Storage,Microsoft Azure,Azure Cool Storage,https://azure.microsoft.com/pricing/details/storage/blobs/
Storage,Long Term Cold Storage,Google Cloud Platform,Cloud Storage,https://cloud.google.com/storage/
Storage,Long Term Cold Storage,IBM Cloud,Object Storage-ColdVault,https://www.ibm.com/cloud/object-storage
Storage,Long Term Cold Storage,IBM Cloud,Archive,https://cloud.ibm.com/docs/infrastructure/cloud-object-storage-infrastructure?topic=cloud-object-storage-infrastructure-archiving-data
Storage,Long Term Cold Storage,Oracle Cloud,Oracle Cloud Infrastructure Archive Storage,https://www.oracle.com/cloud/storage/archive-storage.html
Storage,Long Term Cold Storage,Oracle Cloud,Oracle Cloud Object Storage Infrequent Access Tier,https://docs.oracle.com/en-us/iaas/Content/Object/Concepts/understandingstoragetiers.htm
Storage,Long Term Cold Storage,Alibaba Cloud,Object Storage Archive,https://www.alibabacloud.com/product/oss
Storage,Long Term Cold Storage,Huawei Cloud,Object Storage Service,https://www.huaweicloud.com/intl/en-us/product/obs.html
Storage,Hybrid Storage/Storage Gateway,AWS,AWS Storage Gateway,https://aws.amazon.com/storagegateway
Storage,Hybrid Storage/Storage Gateway,Microsoft Azure,Azure Storsimple,https://azure.microsoft.com/services/storsimple/
Storage,Hybrid Storage/Storage Gateway,Oracle Cloud,Oracle Cloud Infrastructure Storage Gateway,https://www.oracle.com/cloud/storage/storage-gateway.html
Storage,Hybrid Storage/Storage Gateway,Alibaba Cloud,Hybrid Cloud Storage Array,https://www.alibabacloud.com/product/storage-array
Storage,Hybrid Storage/Storage Gateway,Huawei Cloud,Cloud Storage Gateway,https://www.huaweicloud.com/product/csg.html
Database,Relational Database Management Service,AWS,Amazon Aurora,https://aws.amazon.com/rds/aurora/
Database,Relational Database Management Service,AWS,Amazon RDS,https://aws.amazon.com/rds/
Database,Relational Database Management Service,Microsoft Azure,Azure SQL Database,https://azure.microsoft.com/services/sql-database/
Database,Relational Database Management Service,Microsoft Azure,SQL Server Stretch Database,https://azure.microsoft.com/services/sql-server-stretch-database/
Database,Relational Database Management Service,Microsoft Azure,Azure Database for MySQL,https://azure.microsoft.com/services/mysql/
Database,Relational Database Management Service,Microsoft Azure,Azure Database for PostgresSQL,https://azure.microsoft.com/services/postgresql/
Database,Relational Database Management Service,Microsoft Azure,Azure SQL Database Edge,https://azure.microsoft.com/services/sql-database-edge/
Database,Relational Database Management Service,Google Cloud Platform,Cloud SQL,https://cloud.google.com/sql/
Database,Relational Database Management Service,Google Cloud Platform,Cloud Spanner,https://cloud.google.com/spanner/
Database,Relational Database Management Service,IBM Cloud,Db2,https://cloud.ibm.com/catalog/services/db2
Database,Relational Database Management Service,IBM Cloud,Db2 Hosted,https://cloud.ibm.com/catalog/services/db2-hosted
Database,Relational Database Management Service,IBM Cloud,Informix,https://cloud.ibm.com/catalog/services/informix
Database,Relational Database Management Service,IBM Cloud,Databases for PostgreSQL,https://cloud.ibm.com/catalog/services/databases-for-postgresql
Database,Relational Database Management Service,IBM Cloud,Databases for EDB,https://cloud.ibm.com/databases/databases-for-enterprisedb/create
Database,Relational Database Management Service,IBM Cloud,Compose for MySQL(Beta),https://cloud.ibm.com/catalog/services/compose-for-mysql
Database,Relational Database Management Service,IBM Cloud,Databases for MySQL,https://cloud.ibm.com/databases/databases-for-mysql/create
Database,Relational Database Management Service,IBM Cloud,Hyper Protect DBaaS for PostgreSQL,https://cloud.ibm.com/catalog/services/hyper-protect-dbaas-for-postgresql
Database,Relational Database Management Service,Oracle Cloud,Oracle Database Cloud Service - Virtual Machine,https://www.oracle.com/database/vm-cloud.html
Database,Relational Database Management Service,Oracle Cloud,Oracle Database Cloud Service - Bare Metal,https://www.oracle.com/database/bare-metal-cloud.html
Database,Relational Database Management Service,Oracle Cloud,Oracle Exadata Cloud Service,https://www.oracle.com/engineered-systems/exadata/cloud-service/
Database,Relational Database Management Service,Oracle Cloud,Oracle Autonomous Data Warehouse,https://www.oracle.com/autonomous-database/autonomous-data-warehouse/
Database,Relational Database Management Service,Oracle Cloud,Oracle Autonomous Transaction Processing,https://www.oracle.com/autonomous-database/autonomous-transaction-processing/
Database,Relational Database Management Service,Oracle Cloud,MySQL Database Service,https://www.oracle.com/mysql/
Database,Relational Database Management Service,Oracle Cloud,MySQL Heatwave Service,https://docs.oracle.com/en-us/iaas/mysql-database/doc/heatwave.html
Database,Relational Database Management Service,Alibaba Cloud,ApsaraDB for RDS MYSQL,https://www.alibabacloud.com/product/apsaradb-for-rds/
Database,Relational Database Management Service,Alibaba Cloud,ApsaraDB for RDS SQL Server,https://www.alibabacloud.com/product/apsaradb-for-rds/
Database,Relational Database Management Service,Alibaba Cloud,ApsaraDB for RDS PostgreSQL,https://www.alibabacloud.com/product/apsaradb-for-rds/
Database,Relational Database Management Service,Alibaba Cloud,Distributed Relational Database Service (DRDS) ,https://www.alibabacloud.com/product/drds?spm=a3c0i.11270126.675768.dnavproductsd7.6c8668dcRLNbeB
Database,Relational Database Management Service,Huawei Cloud,GaussDB(for openGauss),https://www.huaweicloud.com/intl/en-us/product/gaussdb.html
Database,Relational Database Management Service,Huawei Cloud,none.png,https://www.huaweicloud.com/intl/en-us/product/gaussdb_mysql.html
Database,Relational Database Management Service,Huawei Cloud,RDS for MySQL,https://www.huaweicloud.com/intl/en-us/product/mysql.html
Database,Relational Database Management Service,Huawei Cloud,RDS for PostgreSQL,https://www.huaweicloud.com/intl/en-us/product/pg.html
Database,Non Relational Database Management Service,AWS,Amazon DynamoDB,https://aws.amazon.com/dynamodb/
Database,Non Relational Database Management Service,AWS,Amazon DynamoDB Accelerator (DAX),https://aws.amazon.com/dynamodb/dax/
Database,Non Relational Database Management Service,AWS,Amazon DocumentDB (with MongoDB compatibility),https://aws.amazon.com/documentdb/
Database,Non Relational Database Management Service,AWS,Amazon Keyspaces (Apache Cassandra),https://aws.amazon.com/keyspaces/
Database,Non Relational Database Management Service,Microsoft Azure,Azure CosmosDB,https://docs.microsoft.com/azure/cosmos-db/
Database,Non Relational Database Management Service,Microsoft Azure,Table Storage,https://azure.microsoft.com/services/storage/tables/
Database,Non Relational Database Management Service,Microsoft Azure,Azure Time Series Insights,https://azure.microsoft.com/services/time-series-insights/
Database,Non Relational Database Management Service,Google Cloud Platform,Cloud Datastore,https://cloud.google.com/datastore/
Database,Non Relational Database Management Service,Google Cloud Platform,Cloud Firestore,https://cloud.google.com/firestore/
Database,Non Relational Database Management Service,IBM Cloud,Cloudant NoSQL DB,https://cloud.ibm.com/docs/services/Cloudant?topic=cloudant-overview
Database,Non Relational Database Management Service,IBM Cloud,Compose for JanusGraph,https://cloud.ibm.com/docs/services/ComposeForJanusGraph?topic=compose-for-janusgraph-about-compose-for-janusgraph
Database,Non Relational Database Management Service,IBM Cloud,Databases for MongoDB,https://cloud.ibm.com/catalog/services/databases-for-mongodb
Database,Non Relational Database Management Service,IBM Cloud,Databases for etcd,https://cloud.ibm.com/databases/databases-for-etcd/create
Database,Non Relational Database Management Service,IBM Cloud,Databases for DataStax,https://cloud.ibm.com/databases/databases-for-cassandra/create
Database,Non Relational Database Management Service,IBM Cloud,Hyper Protect DBaaS for MongoDB,https://cloud.ibm.com/catalog/services/hyper-protect-dbaas-for-mongodb
Database,Non Relational Database Management Service,Oracle Cloud,Oracle NoSQL Database Cloud Service,https://www.oracle.com/database/nosql-cloud.html
Database,Non Relational Database Management Service,Oracle Cloud,Oracle Autonomous JSON Database,https://www.oracle.com/autonomous-database/autonomous-json-database/
Database,Non Relational Database Management Service,Alibaba Cloud,Apsaradb for Mongodb,https://www.alibabacloud.com/product/apsaradb-for-mongodb
Database,Non Relational Database Management Service,Alibaba Cloud,Table Store,https://www.alibabacloud.com/product/table-store
Database,Non Relational Database Management Service,Huawei Cloud,GaussDB(for Mongo),https://www.huaweicloud.com/intl/en-us/product/gaussdbformongo.html
Database,Non Relational Database Management Service,Huawei Cloud,GaussDB(for Cassandra),https://www.huaweicloud.com/intl/en-us/product/gaussdbforcassandra.html
Database,Non Relational Database Management Service,Huawei Cloud,Document Database Service,https://www.huaweicloud.com/intl/en-us/product/dds.html
Database,Non Relational Database Management Service,Huawei Cloud,Graph Engine Service,https://www.huaweicloud.com/intl/en-us/product/ges.html
Database,Timeseries Database,AWS,Amazon Timestream,https://aws.amazon.com/timestream/
Database,Timeseries Database,Microsoft Azure,Azure Time Series Insights,https://azure.microsoft.com/services/time-series-insights/
Database,Timeseries Database,Google Cloud Platform,Cloud Bigtable,https://cloud.google.com/Bigtable/
Database,Timeseries Database,IBM Cloud,Informix,https://www.ibm.com/analytics/informix
Database,Timeseries Database,Alibaba Cloud,HiTSDB (High-Performance Time Series Database),https://www.alibabacloud.com/product/hitsdb?spm=a3c0i.11270126.675768.dnavproductsd8.6c8668dcRLNbeB
Database,Timeseries Database,Alibaba Cloud,Time Series Database for InfluxDB,https://www.alibabacloud.com/product/hitsdb_influxdb
Database,Timeseries Database,Huawei Cloud,GaussDB(for Influx),https://www.huaweicloud.com/intl/en-us/product/gaussdbforinflux.html
